,acc,ch1,ch2,ch3,ch4,ch5
39,0.0,1.5711499999999998,1.1862,0.28825,0.4731000000000001,0.66835
40,0.0,1.0042,0.9789999999999999,0.35015,0.5068499999999999,0.562
41,0.0,0.9680500000000001,1.4462999999999997,0.23355,0.5605999999999999,0.43650000000000005
42,0.0,1.23885,0.9748999999999999,0.1304,0.5332499999999999,0.32805000000000006
43,0.0,1.0288499999999998,1.12585,0.14669999999999997,0.57545,0.43315
44,0.0,1.4361500000000003,1.1202,0.17825000000000002,0.36555,0.4079
45,0.0,0.6734999999999999,0.5325,0.16104999999999997,0.7074,0.27975
46,0.0,0.5617,1.35395,1.53995,0.45220000000000005,1.1084499999999997
47,0.0,0.40925,2.3242000000000003,0.43225,1.1718,0.27990000000000004
48,0.0,0.2941,0.4638500000000001,0.15215,0.5607,0.7937000000000001
49,0.0,0.1923,0.23805,0.08735000000000001,0.16785,0.22375
50,0.0,0.1947,0.36710000000000004,0.0892,0.26145,0.24855
51,0.0,0.1618,0.2119,0.05190000000000001,0.08935,0.22444999999999998
52,0.0,0.2017,0.24839999999999998,0.05515000000000001,0.18935000000000002,0.28675
53,0.0,0.1851,0.28884999999999994,0.03805000000000001,0.1531,0.27555
54,0.0,0.23535,0.3914500000000001,0.03855,0.1674,0.27285000000000004
55,0.0,0.24605,0.3233,0.06765,0.23485,0.2715
56,0.0,0.19254999999999997,0.4057,0.04574999999999999,0.2408,0.35929999999999995
57,0.0,0.19219999999999998,0.4496,0.053849999999999995,0.23245000000000002,0.32295
58,0.0,0.19485,0.30835000000000007,0.0335,0.12969999999999998,0.2978
59,0.0,0.18150000000000002,0.5056,0.0621,0.28099999999999997,0.30540000000000006
60,0.0,0.20375000000000001,0.3434,0.053,0.20820000000000002,0.35259999999999997
61,0.0,0.21904999999999997,0.39025000000000004,0.047499999999999994,0.25460000000000005,0.31579999999999997
62,0.0,0.19230000000000003,0.33065000000000005,0.04425,0.16315000000000002,0.29235
63,0.0,0.1826,0.2797,0.033900000000000007,0.1151,0.3439
64,0.0,0.1583,0.23474999999999996,0.0301,0.12395,0.3102
65,0.0,0.33214999999999995,0.45715,0.03785,0.2637,0.33039999999999997
66,0.0,3.4525,0.8507000000000001,0.0659,0.6881999999999999,0.84705
67,0.0,1.5386,1.7595500000000002,0.9878499999999999,1.2481,1.3016999999999999
68,0.0,1.18015,1.0451,0.3255,0.66005,0.7838499999999999
69,0.0,1.50525,2.3317,0.10670000000000002,0.4899,0.7279
70,0.0,1.1895999999999998,1.0598499999999997,0.09025,0.43440000000000006,0.55085
71,0.0,0.7171,1.1555,0.0877,0.4532,0.6388
72,0.0,1.43005,1.40135,0.09645,0.3682,0.7363
73,0.0,0.9793499999999999,1.6999999999999997,0.0789,0.6612499999999999,0.6599999999999999
74,0.0,1.04595,1.6344,0.10709999999999999,0.55515,0.77525
75,0.0,0.3164,2.3263000000000007,0.1025,0.26605,0.85455
76,0.0,0.23245000000000007,0.10235,0.32755,0.5910000000000001,1.8957
77,0.0,0.07415000000000001,0.027800000000000002,0.16550000000000004,0.5229,0.9874499999999999
78,0.0,0.1237,0.06330000000000001,0.1148,0.5013000000000001,2.2471
79,0.0,0.06755000000000001,0.0211,0.06924999999999999,0.20715,0.96805
80,0.0,0.06425,0.03305,0.1142,0.26905,1.29315
81,0.0,0.054650000000000004,0.031299999999999994,0.07510000000000001,0.33465,0.61005
82,0.0,0.05155000000000001,0.022600000000000002,0.05545,0.22225,0.54915
83,0.0,0.03535,0.021,0.04035,0.0626,0.8167999999999999
84,0.0,0.03265,0.018549999999999997,0.057800000000000004,0.04195,0.7162999999999999
85,0.0,0.034999999999999996,0.02225,0.10245,0.09935,1.4561000000000002
86,0.0,0.08560000000000001,0.04345,0.07015,0.11009999999999999,0.98265
87,0.0,0.0498,0.023600000000000003,0.07219999999999999,0.10109999999999998,1.5150000000000003
88,0.0,0.04619999999999999,0.03535,0.04765,0.19924999999999998,1.3081999999999998
89,0.0,1.5852499999999996,1.0574999999999999,0.33699999999999997,0.225,0.9929
90,0.0,1.6305,2.67095,0.33030000000000004,4.18365,1.3673499999999998
91,0.0,4.56255,0.6631,1.3965,1.2884499999999999,4.36575
92,0.0,0.6495500000000001,0.37235,0.67995,0.4104,1.2793
93,0.0,0.6730999999999999,0.45405000000000006,0.6363999999999999,0.3388,1.4920999999999998
94,0.0,0.5493000000000001,0.45790000000000003,0.449,0.43835,1.1316
95,0.0,0.6104999999999999,0.47229999999999994,0.51185,0.41285000000000005,0.92525
96,0.0,0.6156999999999999,0.50905,0.59775,0.3444,1.01615
97,0.0,0.3286,0.36515,0.6029,0.5528500000000001,0.8071
98,0.0,0.33120000000000005,0.38915,0.5569999999999999,0.31894999999999996,0.9502499999999999
99,0.0,0.37250000000000005,0.48595,0.6541,0.26180000000000003,0.9096500000000002
100,0.0,0.4626,0.38369999999999993,0.46925,0.2746,0.6452500000000001
101,0.0,0.5277000000000001,0.42569999999999997,0.4738,0.3197,0.7640000000000001
102,0.0,0.3767999999999999,0.39185000000000003,0.31509999999999994,0.24904999999999997,0.82635
103,0.0,0.54725,0.33475,0.6194000000000001,0.2498,2.70405
104,0.0,0.6081000000000001,1.45625,0.80095,0.4323,1.67465
105,0.0,0.15244999999999997,0.09095,0.20659999999999998,0.4824,2.0949000000000004
106,0.0,0.04800000000000001,0.017249999999999998,0.11485,0.29145,0.85565
107,0.0,0.0569,0.01875,0.026549999999999997,0.11890000000000003,1.1481
108,0.0,0.04615,0.026400000000000003,0.22285000000000002,0.50915,0.9611500000000001
109,0.0,0.07015,0.027299999999999998,0.0681,0.1039,1.2306
110,0.0,0.043949999999999996,0.022500000000000003,0.12595,0.09549999999999999,0.9326000000000001
111,0.0,0.20459999999999998,0.07105,0.5528000000000001,0.1528,3.8279499999999995
